source,filename,document_date,num_sentences,ai_statement_count,matched_ai_terms,unique_urls_count,unique_dois_count,unique_arxiv_count,has_ai
Democratic Assembly,20170407-52-billion-dollar-transportation-deal-finally-passes-legislature.txt,,10,0,,0,0,0,False
Democratic Assembly,20170407-assemblymember-cecilia-aguiar-curry-votes-fund-crumbling-state-and-local.txt,,101,0,,0,0,0,False
Democratic Assembly,20170411-gipson-releases-statement-tragic-events-san-bernardino.txt,,6,0,,0,0,0,False
Democratic Assembly,20170417-assemblymember-berman-appointed-chair-assembly-elections-and-redistricting.txt,,16,0,,0,0,0,False
Democratic Assembly,20170417-gipson-expresa-su-oposicion-los-procedimientos-de-deportacion-del-dramer-de.txt,,6,0,,0,0,0,False
Democratic Assembly,20170417-gipson-expresses-opposition-deportation-procedures-california-dreamer.txt,,6,0,,0,0,0,False
Democratic Assembly,20170417-quirk-silva-bill-help-homeless-veterans-advances.txt,,13,0,,0,0,0,False
Democratic Assembly,20170418-gipson-alaba-negocios-locales-al-recibir-millones-de-dolares-en-creditos.txt,,20,0,,0,0,0,False
Democratic Assembly,20170418-gipson-praises-local-business-receiving-millions-tax-credits.txt,"April 13, 2017",22,0,,0,0,0,False
Democratic Assembly,20170418-student-protection-act-assemblywoman-quirk-silva-passes-committee-higher.txt,,17,0,,0,0,0,False
Democratic Assembly,20170419-assemblymember-al-muratsuchi-d-torrance-speaks-press-conference-announcing.txt,,16,0,,0,0,0,False
Democratic Assembly,20170419-assemblymember-irwin-named-legislator-year-veterans-foreign-wars.txt,,22,0,,0,0,0,False
Democratic Assembly,20170419-assemblymember-irwins-multiple-measures-bill-passes-through-higher.txt,,14,0,,0,0,0,False
Democratic Assembly,20170420-assemblymember-al-muratsuchi-d-torrance-speaks-press-conference-announcing.txt,,15,0,,0,0,0,False
Democratic Assembly,20170420-assemblymember-arambula-honors-victims-fresno-shootings-assembly-floor.txt,,29,0,,0,0,0,False
Democratic Assembly,20170420-assemblywoman-quirk-silva-honors-dr-milton-gordon-assembly-floor.txt,,10,0,,0,0,0,False
Democratic Assembly,20170423-sharon-quirk-silva-honors-memory-lives-lost-during-holocaust.txt,,13,0,,0,0,0,False
Democratic Assembly,20170424-assemblywoman-quirk-silva-calls-tax-incentives-california-manufacturing.txt,,9,0,,0,0,0,False
Democratic Assembly,20170424-gipson-joins-philippine-consulate-general-provide-outreach-mission-city.txt,"May 6, 2017",19,0,,0,0,0,False
Democratic Assembly,20170425-quirk-silva-bill-give-tax-cuts-small-businesses-approved-jobs-committee.txt,,18,0,,0,0,0,False
Democratic Assembly,20170426-assemblymember-al-muratsuchis-assembly-bill-ab-1646-which-will-require.txt,,15,0,,0,0,0,False
Democratic Assembly,20170426-assemblywoman-blanca-e-rubio-announces-upcoming-mobile-office-hours.txt,"April 27, 2017",29,0,,0,0,0,False
Democratic Assembly,20170426-gipson-frustrated-uc-systems-misuse-school-funding-despite-tuition-increase.txt,,9,0,,0,0,0,False
Democratic Assembly,20170426-quirk-silva-legislation-homeless-and-poor-veterans-passes-key-committee.txt,,12,0,,0,0,0,False
Democratic Assembly,20170429-gipson-reflects-1992-los-angeles-civil-unrest.txt,,9,0,,0,0,0,False
Democratic Assembly,20170430-gipson-co-authors-house-resolution-recognize-and-celebrate-cinco-de-mayo.txt,5/7/17,70,0,,0,0,0,False
Democratic Assembly,20170501-assemblymember-al-muratsuchi-participate-japanese-american-pilgrimage.txt,,24,0,,0,0,0,False
Democratic Assembly,20170503-quirk-silva-challenges-hidden-uc-funds.txt,,23,0,,0,0,0,False
Democratic Assembly,20170503-statement-assemblymember-al-muratsuchi-d-torrance-us-chemical-safety-boards.txt,,19,0,,0,0,0,False
Democratic Assembly,20170504-assemblymember-dr-joaquin-arambula-responds-passage-trumpcare.txt,,20,0,,0,0,0,False
Democratic Assembly,20170504-berman-celebrates-asian-and-pacific-islander-american-heritage-month.txt,"May 11, 2017",33,0,,0,0,0,False
Democratic Assembly,20170505-assemblywoman-blanca-e-rubio-hold-state-resources-fair-may-13th.txt,,21,0,,0,0,0,False
Democratic Assembly,20170507-assemblymember-dr-joaquin-arambula-seeks-funding-local-police-departments.txt,,36,0,,0,0,0,False
Democratic Assembly,20170508-assemblymember-dr-joaquin-arambula-advocates-funding-local-police.txt,,53,0,,0,0,0,False
Democratic Assembly,20170508-gipson-denounces-trumps-flip-flop-hbcu-funding.txt,,10,0,,0,0,0,False
Democratic Assembly,20170508-quirk-silva-and-assembly-leaders-honor-californiaas-peace-officers.txt,,10,0,,0,0,0,False
Democratic Assembly,20170509-assemblymembers-muratsuchi-ting-and-mccarty-announce-assembly-bill.txt,,16,0,,0,0,0,False
Democratic Assembly,20170509-quirk-silva-calls-uc-president-napolitanoas-resignation.txt,,23,0,,0,0,0,False
Democratic Assembly,20170510-gipson-demands-uc-president-resign.txt,,9,0,,0,0,0,False
Democratic Assembly,20170511-assemblymember-arambula-appointed-high-speed-rail-authority.txt,,26,0,,0,0,0,False
Democratic Assembly,20170511-assemblymember-arambula-joins-vsp-free-eye-clinic.txt,,36,0,,0,0,0,False
Democratic Assembly,20170511-california-senate-and-assembly-elections-chairs-dubious-trumps-recent-order.txt,,24,0,,0,0,0,False
Democratic Assembly,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,,16,0,,0,0,0,False
Democratic Assembly,20170511-gipson-encouraged-over-latest-state-budget.txt,,6,0,,0,0,0,False
Democratic Assembly,20170511-quirk-silva-leads-governor-brown-tour-proposed-orange-county-veteran.txt,,10,0,,0,0,0,False
Democratic Assembly,20170516-muratsuchi-introduces-bill-calling-3-million-education-grants-civil.txt,,35,0,,0,0,0,False
Democratic Assembly,20170517-edegeideg-i-ie-i-12-iedeg-e3ice.txt,,6,0,,0,0,0,False
Democratic Assembly,20170517-iedegi-iiyemdegi-ei-idegi-i2-i-i.txt,,6,0,,0,0,0,False
Democratic Assembly,20170522-assemblymember-arambula-applauds-restoration-money-future-farmers-america.txt,,32,0,,0,0,0,False
Democratic Assembly,20170522-berman-responds-federal-transit-administrations-approval-fund-caltrain.txt,,13,0,,0,0,0,False
Democratic Assembly,20170523-assemblymember-arambula-presents-bill-increase-funding-citrus-diseases.txt,,27,0,,0,0,0,False
Democratic Assembly,20170523-gipson-names-los-tres-cochinitos-small-business-year.txt,"June 5, 2017",19,0,,0,0,0,False
Democratic Assembly,20170524-assemblymembers-aguiar-curry-wood-senators-dodd-mcguire-lead-charge-protect.txt,,31,0,,0,0,0,False
Democratic Assembly,20170525-assemblymember-ash-kalra-responds-failure-bill-restricting-predatory.txt,,21,0,,0,0,0,False
Democratic Assembly,20170525-california-assembly-gives-thumbs-gipsons-budget-request-compton-community.txt,"February 14, 2017",18,0,,0,0,0,False
Democratic Assembly,20170525-quirk-silva-funds-orange-county-veteran-cemetery.txt,,8,0,,0,0,0,False
Democratic Assembly,20170526-assembly-budget-committee-approves-175-million-hunger-prevention-plan.txt,,30,0,,0,0,0,False
Democratic Assembly,20170526-assemblymembers-aguiar-curry-wood-senators-dodd-mcguire-lead-charge-protect.txt,,146,0,,0,0,0,False
Democratic Assembly,20170529-quirk-silva-bill-give-tax-cuts-small-businesses-passes-assembly-floor.txt,,23,0,,0,0,0,False
Democratic Assembly,20170529-quirk-silva-calls-out-orange-county-veteran-cemetery-opposition.txt,,17,0,,0,0,0,False
Democratic Assembly,20170530-assemblymember-al-muratsuchis-assembly-bill-ab-461-which-will-exclude.txt,,11,0,,0,0,0,False
Democratic Assembly,20170531-assemblymember-al-muratsuchis-assembly-bill-ab-1647-which-will-require.txt,,25,0,,0,0,0,False
Democratic Assembly,20170531-quirk-silvaas-west-coyote-hills-open-space-act-passes-assembly-floor.txt,,15,0,,0,0,0,False
